,Entite,Label,Version,liste_contxt_gauche,liste_contxt_droit
0,Dicu,LOC,kraken,ue le bon , ait pitie
1,Jeac-,LOC,kraken,le mot de ,"
quet ne t"
2,Norine,LOC,kraken,"e presse.
"," disait, q"
3,As-,LOC,kraken,ejetes: a ,"
sure qu'i"
4,Norine,LOC,kraken,a fille h , l'avaitMO
5,Rose,LOC,kraken, et de la ," qui,
dans"
6,veillee,LOC,kraken, sit0t la ,", au lieu "
7,Norine,LOC,kraken,ourtil de ,. De meme 
8,LL-.----------==-=x=-MON,LOC,kraken,"bruit; la
"," vILLAGE.
"
9,M1ON V1LLAGE,LOC,kraken,"-----i-
-
",".
rer, con"
10,rer,LOC,kraken," V1LLAGE.
",", conmne s"
11,Ml',LOC,kraken,"e jamais.
",aimeras-tu
12,courtiseras,LOC,kraken,isons; tu ,"
peut-etre"
13,Ca,LOC,kraken,"dragon.
- ", ne saurai
14,A,LOC,kraken,"me chose.
", cause don
15,Inisc,LOC,kraken,", la pro-
",", les pure"
16,Iais,LOC,kraken," l'autre;
", son cceur
17,MO N VILLAGE,LOC,kraken,"-----
m48
",".
revoyant"
18,Rose,LOC,kraken,"pondu, la ", se mit . 
19,Norine,LOC,kraken,la fille  ," s'arreta,"
20,Rose,LOC,kraken,"delle, la ", eut crain
21,Norine,LOC,kraken, deranger ,"
en allant"
22,fiertd,LOC,kraken,un air de ,". lIl se
t"
23,Rose,LOC,kraken,"e, dit la ",. Ml'est a
24,Ml',LOC,kraken, la Rose. ,est avis q
25,LES,LOC,kraken,"------III
", PARIG0TS4
26,parigot de Therese,LOC,kraken,"IG0TS4
Le ",", la femme"
27,Norine,LOC,kraken, frere de ," s'ha-
bil"
28,Paris,LOC,kraken,issons de ,", sortant "
29,bu-,LOC,kraken,upart des ,"
reaux de "
30,Morlincourt,LOC,kraken,et vite a ,",
dit Jean"
31,Morlincourt,LOC,kraken,de aller  ,", rapport "
32,Morlincourt tot,LOC,kraken,arriver a ," et t0t, a"
33,Feuil-,LOC,kraken,droit des ,"
lants.MON"
34,Norine,LOC,kraken, frere de , repassant
35,Ouvrezl,LOC,kraken,"n
criant: ", et votre 
36,"Fa-
vette",LOC,kraken,berger de ,", sa femme"
37,Allons,LOC,kraken,"-
sres.
- ", donc elle
38,CG',LOC,kraken,"  bien.
- ","est vrai, "
39,Paris,LOC,kraken,issous de , et les y 
40,MI,LOC,kraken,"Claude et
",. Ceran de
41,Ceran,LOC,kraken,"de et
MI. "," devisent,"
42,Brlee,LOC,kraken,s routes. ," de
tout u"
43,peul lille,LOC,kraken,s pour si ," morali-
s"
44,carrieres,LOC,kraken,jusqu'aux ,", reprit l"
45,emotionnee,LOC,kraken," petiote, ", de fond e
46,chemindes,LOC,kraken,moner les ,". On voit
"
47,gne,LOC,kraken," l'a soi-
",", gueri. L"
48,parigole,LOC,kraken,as que la ," et
le Sav"
49,Savoyard,LOC,kraken,"ole et
le ", seraient 
50,A,LOC,kraken,"en avise.
", ce propos
51,A,LOC,kraken,"AGE.
---- ","
l'annee p"
52,Saint-Brunelle,LOC,kraken, l'eau de , est nuisi
53,Norine,LOC,kraken,maison de ,. La Rose 
54,ft-cel le cher brave,LOC,kraken,re. MIais ," homme l
s"
55,Allez,LOC,kraken,"vre monde
",", alle iln"
56,Rose,LOC,kraken,"
mdme, la ", a bien pt
57,veillee.1,LOC,kraken,"soir,  la ",".

MON VIL"
58,Saint-Brunelle,LOC,kraken,s gens de ,".
J'irai  "
59,beni,LOC,kraken,"e buis-l, ",", sera pen"
60,gencral,LOC,kraken,astres en ,".
Mais chu"
61,MON VILLAGE,LOC,kraken,"prohrium.
",".

a Ccs p"
62,Riez,LOC,kraken,ille ans. ," donc a
pr"
63,"Saint-
Brunelle",LOC,kraken,uenots de ," l on
Aux "
64,Aux bjittl,LOC,kraken,"elle l on
", de monsie
65,MON VI1LLAGE,LOC,kraken,"5-
7.'LLg
",".
ni aux v"
66,A,LOC,kraken,"
;¬5

. ;
"," 
,2 1
F
a"
67,F,LOC,kraken,";
A 
,2 1
","
a.,. 
 .
"
68,P,LOC,kraken," 
..
aT¬ 
","

’ 
s
,  "
69,¬2¬,LOC,kraken,"
a ¬
-s .
","

  ’i.
4."
70,E’,LOC,kraken," ’i.
4.
, ","sgee3’
 i
"
71,F,LOC,kraken,"diS
 ed-e
"," 4!
a-a s
"
72,E,LOC,kraken,"
2.
. 4- 
","  a..
¬ 
e"
73,AL,LOC,kraken,",eee--eee
",".
-
S rpe "
74,"E E e
 ",LOC,kraken,"S a-
3 -e
","au  
dee t"
75,S2-,LOC,kraken,"e’irer;
 
"," ’e?
e 5
e"
76,E,LOC,kraken,"2 
 ¬

  
","   rDbee!
"
77,F3¬,LOC,kraken,"eV?
..
e¬
","
e¬
ee e e"
78,S-,LOC,kraken,"er¬
z .
 ’","
. 
’S
 ae"
79,e-E,LOC,kraken,"e lſ
e¬
S ","
 ¬
S.2
-e"
80,pe-’i r 5,LOC,kraken,"dliets
ce
","
e-
2 ¬

,"
81,A,LOC,kraken,"e er. Ae.
"," ſ’-t¬
 e¬"
82,"Ee-E
S-",LOC,kraken," u eterie
","
 ree- S¬ "
83,AL,LOC,kraken,"
pe ,
ee 
"," 
3 ée

ie"
84,E,LOC,kraken,"ee ’e 
ee ","  e’ 
S’re"
85,E,LOC,kraken,"eS
eeu.
 
", eaeeou r 
86,S-,LOC,kraken,"n S2
.
ee ","
e y le ſe"
87,E,LOC,kraken,"
 sipne 
 ","
. S V
r¬
"
88,.l,LOC,kraken,"t ieea,
 
","
 oie lri "
89,S-e ’,LOC,kraken,"
ee

1ev: ","e3
ri i r "
90,E,LOC,kraken,"
’’e e
 ¬
","
Veeree3
e"
91,Veeree3,LOC,kraken,"’e e
 ¬
E
","
e
e ¬
L H"
92,leeH,LOC,kraken,"eoeeiſlas
",":
ev-P
c  "
93,ev-P,LOC,kraken,"las
leeH:
","
c  es, 
E"
94,P,LOC,kraken," eto 
ert
","  v ee p¬
"
95,A,LOC,kraken,"
.
ee  r,
"," -.4
e.
s4"
96,Voee,LOC,kraken,"
e e e a  "," , el’
e e"
97,I,LOC,kraken,"eidee
,
¬
"," erreet
i "
98,eiee,LOC,kraken,doi ee de ,"
’re
  o  "
99,Eeevirr,LOC,kraken,"’¬.
 a 7.
",":
ie’ ’ as"
100,Ee,LOC,kraken,"eedtt
 ¬

"," -¬
v.
. ’"
101,E,LOC,kraken," e¬:
   
 ","
1 

2 d- "
102,Eeil,LOC,kraken,".
-i

ap.
", s eeſeiee
103,Floes,LOC,kraken,"leeſe rei
"," eer-
I.
."
104,E,LOC,kraken,"n
 -i;
e. ","
oe e e e "
105,Ca,LOC,kraken,"eaoee
 S¬
","
 ¬
lrdle "
106,ile idle e eo  lſeie,LOC,kraken,"ei
ere et ", eier ſe i
107,S,LOC,kraken,"
 E
-e  .
",":Lãdi
le d"
108,Lãdi,LOC,kraken,"E
-e  .
S:","
le dlte i"
109,"Peeis
2i",LOC,kraken," ce l e ſ
","
a
...
e e"
110,"Fee e   da  ei ſieiſieet
i
Le
 
e e eeoid is ee e",LOC,kraken,"-e ee rr 
", a  e i io
111,V1LLAGE,LOC,kraken,"3.
88
MON ",".
flatte l"
112,Ftt,LOC,kraken,"e borgne.
",-ce si mon
113,prechez,LOC,kraken," le cure, ", les bonne
114,MN,LOC,kraken,"niLr-----
"," WILLAGE.
"
115,Perpetue,LOC,kraken,apetiote  ,", Jeacquet"
116,"Saint-
Brunelle",LOC,kraken,retire de ,", est une "
117,vILLAGE,LOC,kraken,salle:MON ,".
- He? lu"
118,Tache,LOC,kraken,"outte.
-- ",", Manot, d"
119,Manot,LOC,kraken,"-- Tache, ",", de taire"
120,Manot,LOC,kraken,"iens, dit ",", comme si"
121,tournee,LOC,kraken,habile et , comme toi
122,Ca,LOC,kraken,"sement.
- ", n'empeche
123,V1LLAGE,LOC,kraken,"dalW-
MON ",".
- Bah 1 "
124,etais,LOC,kraken,"te si
j'y ",".
L]MADAMI"
125,Ir,LOC,kraken,"C
’Ze .
 
","
 ¬
ee.
e."
126,I,LOC,kraken," ete
 
2  "," ,
ue 

5
"
127,Aee,LOC,kraken,"
,e,
:
ſe ","
e 5 ,¬
a¬"
