;Entite;Label;liste_contxt_gauche;liste_contxt_droit
0;Dicu;LOC;"ort
Que le bon "; ait pitie de s
1;Jeac-;LOC; que le mot de ;"
quet ne te por"
2;Norine;LOC;"ais de presse.
"; disait, quand 
3;As-;LOC;ait rejetes: a ;"
sure qu'il nou"
4;Norine;LOC;n. J.a fille h ; l'avaitMON VIL
5;Rose;LOC;ierre et de la ;" qui,
dans notr"
6;veillee;LOC;donc, sit0t la ;, au lieu de re
7;Norine;LOC; le courtil de ;. De meme que m
8;LL-.----------==-=x=-MON;LOC;"t au bruit; la
";" vILLAGE.
nuit "
9;M1ON V1LLAGE;LOC;"----------i-
-
";".
rer, conmne s"
10;rer;LOC;"
M1ON V1LLAGE.
";, conmne si vra
11;Ml';LOC;"oublie jamais.
";aimeras-tu enco
12;courtiseras;LOC;" garnisons; tu ";"
peut-etre d'au"
13;Ca;LOC;"t le dragon.
- "; ne saurait me 
14;A;LOC;"la
meme chose.
"; cause donc dit
15;Inisc;LOC;" amis, la pro-
";, les purets, e
16;Iais;LOC;"fonce l'autre;
"; son cceur de p
17;MO N VILLAGE;LOC;"----------
m48
";".
revoyant le p"
18;Rose;LOC;nt repondu, la ; se mit . couri
19;Norine;LOC; que la fille  ; s'arreta, de p
20;Rose;LOC;"han-
delle, la "; eut crainte de
21;Norine;LOC;te de deranger ;"
en allant remu"
22;fiertd;LOC;ui d'un air de ;". lIl se
trouva"
23;Rose;LOC;"
faire, dit la ";. Ml'est avis q
24;Ml';LOC;, dit la Rose. ;est avis que si
25;LES;LOC;"-----------III
";" PARIG0TS4
Le p"
26;parigot de Therese;LOC;"S PARIG0TS4
Le ";, la femme h Je
27;Norine;LOC;n, le frere de ;" s'ha-
billa po"
28;Paris;LOC;Nourrissons de ;, sortant pour 
29;bu-;LOC;la plupart des ;"
reaux de nourr"
30;Morlincourt;LOC;vite et vite a ;",
dit Jean-Clau"
31;Morlincourt;LOC;"
Claude aller  ";, rapport  son 
32;Morlincourt tot;LOC;lait arriver a ; et t0t, avant 
33;Feuil-;LOC;n au droit des ;"
lants.MON VILL"
