;Entite;Label;liste_contxt_gauche;liste_contxt_droit
0;Morlincourt;LOC;pauvre curé de ; ! dit un chacu
1;Las;LOC;e un dimanche. ; ! mes camarade
2;Norine;LOC;"is de presse. 
"; disait, quand 
3;Norine;LOC;"n. 
La fille à "; l'avait adopté
4;Rose;LOC;ierre et de la ; qui, dans notr
5;Norine;LOC; le courtil de ;. De même que m
6;Norine;LOC;dit la fille à ;, m'as-tu fait 
7;là-bas;LOC;ais toi ? toi, ;, tu m'oubliera
8;Norine;LOC;ent la fille à ;, qui était fin
9;Norine;LOC;que la fille à ; s'arrêta, de p
10;Norine;LOC;te de déranger ; en allant remu
11;Norine;LOC;n, le frère de ; s'habilla pour
12;Tournez;LOC;"oyant passer. 
";-vous d'ici à M
13;Morlincourt;LOC;z-vous d'ici à ; ? Vous marchez
14;Morlincourt;LOC;vite et vite à ;, dit Jean-Clau
15;Morlincourt;LOC;Claude aller à ;", rapport à 
so"
16;Morlincourt;LOC;"ait arriver à 
"; tôt et tôt, av
17;Norine;LOC;"? 
Le frère de "; repassant dans
18;Favette;LOC;z le berger de ;, sa femme étai
19;parigot;LOC;allu rendre le ;. La Jeacquet, 
20;Jeacquet;LOC;le parigot. La ;, une dévote, a
21;émotionnée;LOC;t, la petiote, ; de fond en com
22;Savoyard;LOC;histoire de ce ;"-là : 
Au villa"
23;Savoyard;LOC;parigote et le ; seraient bien 
24;Céran;LOC;llez, monsieur ;, disait Jean-C
25;Céran;LOC;mins, monsieur ;, dit Jean-Clau
26;Morlinval;LOC;e avec ceux de ; pour une sourc
27;Saint-Brunelle;LOC;z que l'eau de ; est nuisible. 
28;Norine;LOC;r la maison de ;. La Rose était
29;Rose;LOC; de Norine. La ; était, à ce qu
30;Saint-Brunelle;LOC; l'aime fort à ;, à cause de be
31;Norine;LOC;"de la fille à 
";, ce dernier so
32;Saint-Brunelle;LOC;es des gens de ;". 
J'irai à ce "
33;Saint-Brunelle;LOC;s la semaine à ;, je vous prévi
34;Crachez;LOC; notre église. ;-vous, mouchez-
35;mouchez;LOC; Crachez-vous, ;-vous, éternuez
36;Riez;LOC;ix mille ans ! ; donc à présent
37;Saint-Brunelle;LOC;! huguenots de ;" ! » 
Aux bjitt"
38;Saint-Brunelle;LOC;n n'a pas bâti ; d'un jour. Si 
39;Perpétue;LOC;, la petiote à ;, Jeacquet le m
40;Toinon;LOC;puis la mère à ; qui est sourde
41;Saint-Brunelle;LOC;cabaretière de ;, est une petio
