Freq. centroide;Centroïde;Cluster;Annotation CENTROIDES;ANNOTATION
2;peino;;FP;
;peino;Heinl;;FP
;peino;Mf;;FP
;peino;ndaindnspeim4;;FP
;peino;peinaef;;FP
;peino;peino;;FP
1;at;;FP;
;at;at;;FP
;at;eAt;;FP
;at;lorAtelier;;AMBIG
;at;platt.s;;FP
;at;ucneoratuat;;FP
1;Ja;;FP;
;Ja;Ja;;FP
;Ja;jame;;FP
2;Rntends;;FP;
;Rntends;Rn;;FP
;Rntends;Rntends;;FP
;Rntends;Tenes;;FP
;Rntends;ds;;FP
;Rntends;plbr;;FP
;Rntends;uontento;;FP
;Rntends;vendezf;;FP
1;Ieunne;;FP;
;Ieunne;Dieul;;FP
;Ieunne;Iesnne;;FP
;Ieunne;Ieunne;;FP
;Ieunne;leunno;;FP
;Ieunne;petiteleunna;;FP
;Ieunne;ttodolaeunne;;FP
1;puille;;FP;
;puille;Dapuis;;FP
;puille;Feuillet;;FP
;puille;Guillaum;;FP
;puille;Mapuuvrefille;;FP
;puille;asemailles;;FP
;puille;deuxfamilles;;FP
;puille;mouill6as;;FP
;puille;puille;;FP
;puille;puin;;FP
1;PARIIE;;FP;
;PARIIE;Ilordinarie;;FP
;PARIIE;MIIEMEARIR;;FP
;PARIIE;Narie;;FP
;PARIIE;PARII;;FP
;PARIIE;PARIIE;;FP
;PARIIE;Paris;;VP
;PARIIE;TROISIEMBPARIIB;;FP
;PARIIE;Tiier;;FP
;PARIIE;iIe;;FP
;PARIIE;partagie;;FP
;PARIIE;pbrIixier;;FP
1;tch6;;FP;
;tch6;Ch6tif-;;AMBIG
;tch6;tch6;;FP
;tch6;tche;;FP
1;VRUVR;;FP;
;VRUVR;VRUVR;;FP
;VRUVR;VUVR;;FP
;VRUVR;vrage;;FP
1;ga;;FP;
;ga;aisga;;FP
;ga;ga;;FP
;ga;gal;;FP
;ga;gargon;;FP
1;ms;;FP;
;ms;aommsIa;;FP
;ms;madams;;FP
;ms;ms;;FP
1;geee;;FP;
;geee;I1;;FP
;geee;geee;;FP
;geee;iniaasiveeeeAI;;FP
;geee;louee;;FP
1;Touches;;FP;
;Touches;EZHl;;FP
;Touches;Fuuche;;FP
;Touches;Touches;;FP
;Touches;ches;;FP
;Touches;motuches;;FP
;Touches;tou-;;FP
1;btisse;;FP;
;btisse;Bt;;FP
;btisse;Disu;;FP
;btisse;Grise;;FP
;btisse;btisse;;FP
;btisse;ptissrie;;FP
1;queiquel;;FP;
;queiquel;Afrique;;VP
;queiquel;CL;;FP
;queiquel;Phques;;FP
;queiquel;chaquae;;FP
;queiquel;equ';;FP
;queiquel;queiquel;;FP
1;M-;;FP;
;M-;M-;;FP
;M-;hom-;;FP
1;alle;;FP;
;alle;Rlle;;FP
;alle;aL;;FP
;alle;alle;;FP
;alle;olle;;FP
;alle;suvoiraaeovall;;FP
1;SI;;FP;
;SI;Aussitdt;;FP
;SI;SI;;FP
;SI;TR0OIsIkMR;;FP
;SI;fSi;;FP
;SI;lisie;;FP
;SI;sassit;;FP
;SI;t80;;FP
;SI;tuntaisio;;FP
1;tre;;FP;
;tre;Nutre;;FP
;tre;etre;;FP
;tre;jotrs;;FP
;tre;letr;;FP
;tre;mattre;;FP
;tre;tre;;FP
;tre;trefois;;FP
;tre;tresl;;FP
;tre;vbtre;;FP
5;Est;;FP;
;Est;Caestjuete;;FP
;Est;Cest;;FP
;Est;Est;;FP
;Est;aEst;;FP
;Est;oarr6es;;FP
;Est;oioes;;FP
;Est;sves;;FP
1;lespsi;;FP;
;lespsi;aMles;;FP
;lespsi;lesprit;;FP
;lespsi;lespsi;;FP
