Freq. centroide;Centroïde;Cluster;Annotation CENTROIDES;ANNOTATION
3;Paris;;VP;
;Paris;Grise;;FP
;Paris;Paris;;VP
;Paris;Paüda;;FP
2;Colis;;FP;
;Colis;Co;;FP
;Colis;Colis;;FP
;Colis;du.lit;;FP
1;Grand;;FP;
;Grand;Flandre;;VP
;Grand;Grand;;FP
;Grand;Grand-;;FP
;Grand;GrandLonis;;FP
;Grand;Jusserand;;FP
;Grand;rassé;;FP
1;VEUVE;;FP;
;VEUVE;Pauves;;FP
;VEUVE;VEUVE;;FP
;VEUVE;ve;;FP
21;Grand-Bail;;AMBIG;
;Grand-Bail;Bail;;AMBIG
;Grand-Bail;Grand-Bail;;AMBIG
;Grand-Bail;Grand-Bal;;AMBIG
;Grand-Bail;loGrand-Bail;;AMBIG
4;Sainte-Solange;;VP;
;Sainte-Solange;Sainte-Solange;;VP
;Sainte-Solange;Solango;;AMBIG
;Sainte-Solange;sainte-Solange;;VP
20;Nannette;;FP;
;Nannette;Bretagne;;VP
;Nannette;Jennne;;FP
;Nannette;KNFANCEDEJKANNE;;FP
;Nannette;Meunet;;VP
;Nannette;Nannette;;FP
;Nannette;Nannotte;;FP
;Nannette;doJoanne;;FP
1;Hautes-Roches;;VP;
;Hautes-Roches;Bourges;;VP
;Hautes-Roches;Cher;;VP
;Hautes-Roches;Est;;AMBIG
;Hautes-Roches;Hautes-;;VP
;Hautes-Roches;Hautes-Roches;;VP
;Hautes-Roches;Lompes;;FP
;Hautes-Roches;UT;;FP
;Hautes-Roches;quartierdesHautes-Roches;;VP
2;Issoudun;;VP;
;Issoudun;Inourablesd'Issoudun;;VP
;Issoudun;Issoudun;;VP
;Issoudun;Sylvun;;FP
;Issoudun;laissuis;;FP
4;Jeanno;;FP;
;Jeanno;Jeanno;;FP
;Jeanno;Jeanre;;FP
;Jeanno;Jeanve;;FP
;Jeanno;Jeunno;;FP
;Jeanno;US;;FP
;Jeanno;champdeJeanne;;FP
1;Saint-;;FP;
;Saint-;Saint-;;FP
;Saint-;Saint-Jean;;FP
;Saint-;Saint-Pierre;;FP
1;fermedesOrmeaux;;VP;
;fermedesOrmeaux;Ormenux;;VP
;fermedesOrmeaux;dosOrmeaux;;VP
;fermedesOrmeaux;fermedesOrmeaux;;VP
2;Périnnerie;;VP;
;Périnnerie;Bordinerie;;VP
;Périnnerie;Gathorino;;FP
;Périnnerie;Ja;;FP
;Périnnerie;Périnnerie;;VP
1;Fouillet;;FP;
;Fouillet;Feuillet;;FP
;Fouillet;Fouillet;;FP
;Fouillet;Louisc;;FP
;Fouillet;Mapauvrefille;;FP
;Fouillet;bâle;;FP
;Fouillet;gueil;;FP
1;laFrance;;VP;
;laFrance;Afrique;;VP
;laFrance;Blanche;;FP
;laFrance;J1;;FP
;laFrance;deFrance;;VP
;laFrance;laFrance;;VP
1;Tréchauderie;;VP;
;Tréchauderie;Chaumière;;FP
;Tréchauderie;Faucho;;FP
;Tréchauderie;Tréchanderin;;VP
;Tréchauderie;Tréchauderie;;VP
1;Ïl;;FP;
;Ïl;Ïl;;FP
2;Tiens;;FP;
;Tiens;Allons;;FP
;Tiens;Chétif-;;AMBIG
;Tiens;Jo-;;FP
;Tiens;PANTIE;;FP
;Tiens;Tiens;;FP
;Tiens;Viens;;FP
