Freq. centroide;Centroïde;Cluster;Annotation CENTROIDES;ANNOTATION
1;Lri;;FP;
;Lri;2N;;FP
;Lri;Frincl;;FP
;Lri;Lr;;FP
;Lri;Lri;;FP
;Lri;Nh;;FP
;Lri;Rio;;VP
1;Daaratha;;FP;
;Daaratha;Daaratha;;FP
;Daaratha;Daml;;FP
;Daaratha;IX;;FP
;Daaratha;aA;;FP
1;aLe;;FP;
;aLe;E.;;FP
;aLe;Holhal;;FP
;aLe;Palerme;;VP
;aLe;ZY;;FP
;aLe;aLe;;FP
;aLe;touflee;;FP
2;grandDieul;;FP;
;grandDieul;Grand-Cercle;;FP
;grandDieul;Grand-Orient;;VP
;grandDieul;GrandDieul;;FP
;grandDieul;grandDieul;;FP
3;Nizier;;VP;
;Nizier;NW;;FP
;Nizier;Nizier;;VP
;Nizier;Nizier.n;;VP
;Nizier;Nizierl;;VP
1;ENLvEMENT;;FP;
;ENLvEMENT;Confusement;;FP
;ENLvEMENT;ENLEvEMENT;;FP
;ENLvEMENT;ENLvEMENT;;FP
;ENLvEMENT;Entrezl;;FP
;ENLvEMENT;Ferocement;;FP
;ENLvEMENT;I1;;FP
1;LI;;FP;
;LI;I3;;FP
;LI;LI;;FP
;LI;LIl;;FP
;LI;Li-;;FP
;LI;Limoux;;VP
1;TU;;FP;
;TU;TU;;FP
;TU;Turc;;FP
;TU;a47;;FP
;TU;aTu;;FP
1;affaire;;FP;
;affaire;Beaucaire;;VP
;affaire;Desir-de-plaire;;FP
;affaire;Ih1;;FP
;affaire;Pecairel;;FP
;affaire;Wffa;;FP
;affaire;Wr;;FP
;affaire;Zaffai;;FP
;affaire;affaire;;FP
1;Fougeroux;;FP;
;Fougeroux;Broum;;FP
;Fougeroux;Fougeroux;;FP
;Fougeroux;Luxembourg;;VP
;Fougeroux;MY;;FP
;Fougeroux;Perou;;VP
;Fougeroux;Vaudoux;;FP
;Fougeroux;lesFougeroux;;FP
5;Chosel;;FP;
;Chosel;Chose;;FP
;Chosel;Chose.8;;FP
;Chosel;Chosel;;FP
;Chosel;Choseln;;FP
1;IZ;['IZ', 'Iz-'];FP;
;IZ;IZ;;FP
;IZ;Iz-;;FP
1;Viensl;;FP;
;Viensl;S6dt;;FP
;Viensl;Tiensl;;FP
;Viensl;Tiensltiensl;;FP
;Viensl;Vienne;;VP
;Viensl;Viens;;FP
;Viensl;Viensl;;FP
1;Jaune;;FP;
;Jaune;JA;;FP
;Jaune;Jaune;;FP
;Jaune;Pruneaux;;FP
;Jaune;dejeune;;FP
;Jaune;sJ;;FP
52;Paris;;VP;
;Paris;Cristaux;;FP
;Paris;Gaspardl;;FP
;Paris;IMarie;;FP
;Paris;Is1;;FP
;Paris;Paris;;VP
;Paris;Parisien;;FP
;Paris;Parisiens;;FP
;Paris;Parisl;;VP
;Paris;Parthenon;;VP
;Paris;rueBonaparte;;VP
1;college;;AMBIG;
;college;College;;AMBIG
;college;Recollets;;VP
;college;Vieux-College;;AMBIG
;college;college;;AMBIG
;college;collegedeLyon;;VP
;college;iJ;;FP
1;Desinitinpiscem;;FP;
;Desinitinpiscem;Desinitinpiscem;;FP
;Desinitinpiscem;Nice;;VP
;Desinitinpiscem;Pise;;VP
;Desinitinpiscem;Sceaux;;VP
;Desinitinpiscem;nP;;FP
1;Bretagne;;VP;
;Bretagne;Bretagne;;VP
;Bretagne;Cassagne;;FP
;Bretagne;GAGNE;;FP
;Bretagne;Sh-;;FP
;Bretagne;d'Espagne;;VP
;Bretagne;etreiciP;;FP
;Bretagne;laBretagne;;VP
1;Lfi;;FP;
;Lfi;Lfi;;FP
;Lfi;N3;;FP
;Lfi;NJ;;FP
;Lfi;fI;;FP
1;Fortune;;FP;
;Fortune;Alfort;;VP
;Fortune;Fortune;;FP
;Fortune;duNord;;AMBIG
1;Es-;;FP;
;Es-;Es-;;FP
;Es-;Neuf-des-Papes;;VP
;Es-;fes;;FP
;Es-;ruedesDames;;VP
2;ReligionlReligionlpoeme;;FP;
;ReligionlReligionlpoeme;PION;;FP
;ReligionlReligionlpoeme;ReligionlReligionlpoeme;;FP
;ReligionlReligionlpoeme;Religionlpoeme;;FP
;ReligionlReligionlpoeme;Revolutionl;;FP
;ReligionlReligionlpoeme;Robinsonln;;FP
;ReligionlReligionlpoeme;repondre;;FP
2;Porcelaines;;FP;
;Porcelaines;1A;;FP
;Porcelaines;4J;;FP
;Porcelaines;;;FP
;Porcelaines;Porcelaines;;FP
;Porcelaines;Port-au-Prince;;VP
;Porcelaines;Touraine;;VP
;Porcelaines;feePorcelaine;;FP
;Porcelaines;r68;;FP
1;somme;;FP;
;somme;M[me;;FP
;somme;Rome;;VP
;somme;somme;;FP
;somme;sommeilLEREVE;;FP
1;Rosel;;FP;
;Rosel;Rose;;FP
;Rosel;Rosel;;FP
;Rosel;Rosellen;;FP
;Rosel;presqueLAROsE;;FP
1;N-.--;;FP;
;N-.--;N-;;FP
;N-.--;N-.--;;FP
1;IM;;FP;
;IM;3C;;FP
;IM;Celimene;;FP
;IM;IM;;FP
;IM;IMt;;FP
;IM;regime;;FP
38;Blanc;;FP;
;Blanc;Blanc;;FP
;Blanc;Blancs;;FP
;Blanc;LB;;FP
;Blanc;Langlumeau;;FP
;Blanc;Languedoc;;VP
;Blanc;WI;;FP
1;LA;;FP;
;LA;Kalatala;;FP
;LA;LA;;FP
;LA;LA--3;;FP
;LA;Laf;;FP
;LA;Lakamana;;FP
;LA;Marsala;;VP
;LA;tlA;;FP
2;Mont-;;AMBIG;
;Mont-;At-;;FP
;Mont-;Lyon;;VP
;Mont-;Mont-;;AMBIG
;Mont-;Montelimart;;VP
;Mont-;Montmartre;;VP
;Mont-;Nt;;FP
;Mont-;Saumon;;AMBIG
1;Nanterre;;VP;
;Nanterre;Angleterre;;VP
;Nanterre;Lg;;FP
;Nanterre;Nanterre;;VP
;Nanterre;rueLanterne;;VP
3;quartierLatin;;VP;
;quartierLatin;Cachotier;;FP
;quartierLatin;ILatinl;;VP
;quartierLatin;Latin;;VP
;quartierLatin;Moustier;;VP
;quartierLatin;Orties;;FP
;quartierLatin;PARTIE=.;;FP
;quartierLatin;Quartier;;VP
;quartierLatin;QuartierLatin;;VP
;quartierLatin;quartierLatin;;VP
1;AN;;FP;
;AN;AN;;FP
;AN;ANNEAUDE;;FP
;AN;Bandit;;FP
;AN;Fanfan-la-Tulipe;;FP
;AN;I';;FP
;AN;I43;;FP
;AN;Ocean;;AMBIG
;AN;Oh.lDani;;FP
;AN;Tantot;;FP
4;Voilh;;FP;
;Voilh;Lh;;FP
;Voilh;Voila;;FP
;Voilh;Voilh;;FP
1;serieuse;;FP;
;serieuse;Algerien;;FP
;serieuse;Gueril;;FP
;serieuse;Muse;;FP
;serieuse;Pieusement;;FP
;serieuse;mysterieuse;;FP
