Freq. centroide;Centroïde;Cluster;Annotation CENTROIDES;ANNOTATION
3;Nizier;;VP;
;Nizier;NW;;FP
;Nizier;Nizier;;VP
;Nizier;Nizier.n;;VP
;Nizier;Nizierl;;VP
1;ENLvEMENT;;FP;
;ENLvEMENT;Confusement;;FP
;ENLvEMENT;ENLEvEMENT;;FP
;ENLvEMENT;ENLvEMENT;;FP
;ENLvEMENT;Entrezl;;FP
;ENLvEMENT;Ferocement;;FP
;ENLvEMENT;I1;;FP
52;Paris;;VP;
;Paris;Cristaux;;FP
;Paris;Gaspardl;;FP
;Paris;IMarie;;FP
;Paris;Is1;;FP
;Paris;Paris;;VP
;Paris;Parisien;;FP
;Paris;Parisiens;;FP
;Paris;Parisl;;VP
;Paris;Parthenon;;VP
;Paris;rueBonaparte;;VP
1;college;;AMBIG;
;college;College;;AMBIG
;college;Recollets;;VP
;college;Vieux-College;;AMBIG
;college;college;;AMBIG
;college;collegedeLyon;;VP
;college;iJ;;FP
1;Bretagne;;VP;
;Bretagne;Bretagne;;VP
;Bretagne;Cassagne;;FP
;Bretagne;GAGNE;;FP
;Bretagne;Sh-;;FP
;Bretagne;d'Espagne;;VP
;Bretagne;etreiciP;;FP
;Bretagne;laBretagne;;VP
1;Fortune;;FP;
;Fortune;Alfort;;VP
;Fortune;Fortune;;FP
;Fortune;duNord;;AMBIG
1;Es-;;FP;
;Es-;Es-;;FP
;Es-;Neuf-des-Papes;;VP
;Es-;fes;;FP
;Es-;ruedesDames;;VP
2;ReligionlReligionlpoeme;;FP;
;ReligionlReligionlpoeme;PION;;FP
;ReligionlReligionlpoeme;ReligionlReligionlpoeme;;FP
;ReligionlReligionlpoeme;Religionlpoeme;;FP
;ReligionlReligionlpoeme;Revolutionl;;FP
;ReligionlReligionlpoeme;Robinsonln;;FP
;ReligionlReligionlpoeme;repondre;;FP
2;Porcelaines;;FP;
;Porcelaines;1A;;FP
;Porcelaines;4J;;FP
;Porcelaines;;;FP
;Porcelaines;Porcelaines;;FP
;Porcelaines;Port-au-Prince;;VP
;Porcelaines;Touraine;;VP
;Porcelaines;feePorcelaine;;FP
;Porcelaines;r68;;FP
2;Mont-;;AMBIG;
;Mont-;At-;;FP
;Mont-;Lyon;;VP
;Mont-;Mont-;;AMBIG
;Mont-;Montelimart;;VP
;Mont-;Montmartre;;VP
;Mont-;Nt;;FP
;Mont-;Saumon;;AMBIG
1;Nanterre;;VP;
;Nanterre;Angleterre;;VP
;Nanterre;Lg;;FP
;Nanterre;Nanterre;;VP
;Nanterre;rueLanterne;;VP
3;quartierLatin;;VP;
;quartierLatin;Cachotier;;FP
;quartierLatin;ILatinl;;VP
;quartierLatin;Latin;;VP
;quartierLatin;Moustier;;VP
;quartierLatin;Orties;;FP
;quartierLatin;PARTIE=.;;FP
;quartierLatin;Quartier;;VP
;quartierLatin;QuartierLatin;;VP
;quartierLatin;quartierLatin;;VP
8;laPrairie;;AMBIG;
;laPrairie;Prairie;;AMBIG
;laPrairie;laPrairie;;AMBIG
1;Batignolleslo;;VP;
;Batignolleslo;Batignolles,-un;;VP
;Batignolleslo;Batignolleslo;;VP
;Batignolleslo;Mlol;;FP
;Batignolleslo;NO;;FP
;Batignolleslo;yJI;;FP
s;Cevennes;;VP;
;Cevennes;Cevennes;;VP
;Cevennes;Cevenol;;FP
;Cevennes;FcE;;FP
;Cevennes;aZ;;FP
;Cevennes;tourneedesCevennes;;VP
1;Italien;;FP;
;Italien;Hospitalier;;FP
;Italien;Italien;;FP
;Italien;Italiens;;FP
;Italien;d'Italie;;VP
;Italien;g'-;;FP
;Italien;l'Italie;;VP
