Freq. centroide;Centroïde;Cluster;Annotation CENTROIDES;ANNOTATION
42;Pierrotte;;FP;
;Pierrotte;Cachottier;;FP
;Pierrotte;Ferrouillat;;FP
;Pierrotte;Perrache;;VP
;Pierrotte;Pierrotte;;FP
;Pierrotte;Pierrotted'autrefois;;FP
2;Palais;;AMBIG;
;Palais;Alfort;;VP
;Palais;II;;FP
;Palais;Marsala;;VP
;Palais;Palais;;AMBIG
;Palais;Palerme;;VP
;Palais;maisonLalouette;;VP
1;Rose;;FP;
;Rose;Chose;;FP
;Rose;Rome;;VP
;Rose;Rose;;FP
;Rose;Rosellen;;FP
1;Bastille;;VP;
;Bastille;Anastagille;;FP
;Bastille;Bastille;;VP
;Bastille;Marseille;;VP
;Bastille;institutOuly;;VP
1;l'Italie;;FP;
;l'Italie;Italiens;;FP
;l'Italie;d'Italie;;VP
;l'Italie;l'Italie;;VP
1;Huit-à-Dix;;FP;
;Huit-à-Dix;Dites;;FP
;Huit-à-Dix;Huit-à-Dix;;FP
;Huit-à-Dix;IX;;FP
2;Parisiens;;FP;
;Parisiens;Algérien;;FP
;Parisiens;Paris;;VP
;Parisiens;Parisien;;FP
;Parisiens;Parisiens;;FP
;Parisiens;Tiens;;FP
1;RuedesDames;;VP;
;RuedesDames;Dame;;FP
;RuedesDames;Est;;FP
;RuedesDames;MES;;FP
;RuedesDames;RuedesDames;;VP
;RuedesDames;ruedeLille;;VP
;RuedesDames;ruedesDames;;VP
1;Pérou;;VP;
;Pérou;Broum;;FP
;Pérou;Espéron;;FP
;Pérou;Pérou;;VP
;Pérou;lesFougeroux;;FP
2;Université;;AMBIG;
;Université;IV;;FP
;Université;Université;;VP
1;laNégresse;;FP;
;laNégresse;Blanc;;FP
;laNégresse;LaNégresse;;FP
;laNégresse;Languedoc;;VP
;laNégresse;NègresduCap;;AMBIG
;laNégresse;Nécrophores;;FP
;laNégresse;Négresse;;FP
;laNégresse;laNégresse;;FP
;laNégresse;portedelaNégresse;;FP
1;Petit-Cercle;;FP;
;Petit-Cercle;Grand-Cercle;;FP
;Petit-Cercle;Petit-Cercle;;FP
;Petit-Cercle;PetitDaniel;;FP
1;Caraïbe;;VP;
;Caraïbe;Araignée;;FP
;Caraïbe;Barbe;;FP
;Caraïbe;Caraïbe;;VP
;Caraïbe;Madagascar;;VP
;Caraïbe;Çudra;;FP
6;Montparnasse;;VP;
;Montparnasse;Gymnase;;AMBIG
;Montparnasse;Montmartre;;VP
;Montparnasse;Montparnasse;;VP
;Montparnasse;Parthénon;;VP
;Montparnasse;Saumon;;AMBIG
;Montparnasse;boulevardMontparnasse;;VP
;Montparnasse;rueBonaparte;;VP
;Montparnasse;théâtreMontparnasse;;VP
1;Prairie;;AMBIG;
;Prairie;Bhagirathg;;FP
;Prairie;Désir-de-plaire;;FP
;Prairie;Prairie;;AMBIG
;Prairie;laPrairie;;AMBIG
1;COUCOU;;FP;
;COUCOU;Boucoyran;;FP
;COUCOU;CAOUTCHOUCS;;FP
;COUCOU;COUCOU;;FP
;COUCOU;Coucou;;FP
;COUCOU;Loupi;;FP
;COUCOU;NégresseCoucou;;FP
1;chemindeSarlande;;VP;
;chemindeSarlande;Desinitinpiscem;;FP
;chemindeSarlande;Inde;;VP
;chemindeSarlande;Jardindesplantes;;VP
;chemindeSarlande;Sarlande;;VP
;chemindeSarlande;chemindeSarlande;;VP
;chemindeSarlande;clochedeSarlande;;AMBIG
;chemindeSarlande;collègedeSarlande;;VP
;chemindeSarlande;collègemodèledeSarlande;;VP
1;Limoux;;VP;
;Limoux;Limouk;;VP
;Limoux;Limoux;;VP
;Limoux;Luxembourg;;VP
;Limoux;Vaudoux;;FP
1;DEUXIÈME;;FP;
;DEUXIÈME;Bohême;;AMBIG
;DEUXIÈME;DEUXIÈME;;FP
;DEUXIÈME;XI;;FP
4;Serrières;;FP;
;Serrières;Barrière;;FP
;Serrières;Observatoire;;AMBIG
;Serrières;Serrières;;FP
;Serrières;Sèvres;;VP
1;Afrique;;VP;
;Afrique;Afrique;;VP
;Afrique;Bouzanquet;;FP
;Afrique;Fouque;;FP
;Afrique;l'Afrique;;VP
1;Vienne;;VP;
;Vienne;Cévennes;;VP
;Vienne;Providence;;FP
;Vienne;Vienne;;VP
2;Alsace;;VP;
;Alsace;Alsace;;VP
;Alsace;Alsacien;;FP
;Alsace;Nice;;VP
;Alsace;Vallée;;AMBIG
1;MusettedeNanterre;;VP;
;MusettedeNanterre;Angleterre;;VP
;MusettedeNanterre;BETE;;FP
;MusettedeNanterre;Condillacdelaterre;;FP
;MusettedeNanterre;Eyssette;;FP
;MusettedeNanterre;MusettedeNanterre;;VP
;MusettedeNanterre;placedesTerreaux;;VP
;MusettedeNanterre;rueLanterne;;VP
9;hôtelPilois;;VP;
;hôtelPilois;Pise;;VP
;hôtelPilois;Voila;;FP
;hôtelPilois;hôtelPilois;;VP
;hôtelPilois;hôtelPilois!;;VP
;hôtelPilois;laChampenoise;;FP
1;PION;;FP;
;PION;Lyon;;VP
;PION;Odéon;;VP
;PION;PION;;FP
;PION;Rio;;VP
6;Quartierlatin;;VP;
;Quartierlatin;Moustiers;;VP
;Quartierlatin;Orties;;FP
;Quartierlatin;Quartierlatin;;VP
;Quartierlatin;Quartierlatin!;;VP
1;Chine;;VP;
;Chine;Chili;;VP
;Chine;Chine;;VP
;Chine;Chinois;;FP
;Chine;Coquine;;FP
;Chine;Evêché;;AMBIG
1;Bretagne;;VP;
;Bretagne;Bretagne;;VP
;Bretagne;Cassagne;;FP
;Bretagne;d'Espagne;;VP
;Bretagne;laBretagne;;VP
;Bretagne;Éteignez;;FP
1;Grillons;;FP;
;Grillons;Allons;;FP
;Grillons;Boulons;;FP
;Grillons;Grillon;;FP
;Grillons;Grillons;;FP
;Grillons;PAPILLON;;FP
;Grillons;cimetièredesPapillons;;AMBIG
1;Beaux;;FP;
;Beaux;Beaucaire;;VP
;Beaux;Beaux;;FP
;Beaux;Châteauneuf-du-Pape;;VP
;Beaux;Langlumeau;;FP
;Beaux;Phœbé;;FP
;Beaux;Sceaux;;VP
1;Cunocépa;;FP;
;Cunocépa;Cuba;;VP
;Cunocépa;Cunocépa;;FP
;Cunocépa;duNord;;AMBIG
1;Porcelaines;;FP;
;Porcelaines;Finances;;FP
;Porcelaines;LAPORCELAINE;;FP
;Porcelaines;Porcelaines;;FP
;Porcelaines;Port-au-Prince;;VP
;Porcelaines;Touraine;;VP
;Porcelaines;Turc;;FP
;Porcelaines;collègedelaMarine;;VP
3;Batignolles;;VP;
;Batignolles;Baghavat;;FP
;Batignolles;Batignolles;;VP
;Batignolles;Celles;;FP
;Batignolles;Récollets;;VP
;Batignolles;Tolocototignan;;FP
2;Muse;;FP;
;Muse;Muguets;;FP
;Muse;Muse;;FP
;Muse;Musesévère;;FP
;Muse;Pieusement;;FP
;Muse;Vénus;;FP
1;leRhône;;VP;
;leRhône;LeRhône;;VP
;leRhône;Rhône;;VP
;leRhône;leRhône;;VP
11;Saint-Germain;;VP;
;Saint-Germain;Près-Saint-Gervais;;VP
;Saint-Germain;Saint-Cloud;;VP
;Saint-Germain;Saint-Emilion;;VP
;Saint-Germain;Saint-Germain;;VP
;Saint-Germain;Saint-Germain-des-Près;;VP
;Saint-Germain;Saint-Germain-des-Prés;;VP
;Saint-Germain;Saint-Nizier;;VP
;Saint-Germain;Saint-Pierre;;VP
;Saint-Germain;Saint-Pétersbourg;;VP
;Saint-Germain;Saint-Théophile;;FP
;Saint-Germain;clocherdeSaint-Germain;;AMBIG
;Saint-Germain;duMaine;;VP
;Saint-Germain;rueSaint-Benoît;;VP
;Saint-Germain;rueSaint-Guillaume;;VP
;Saint-Germain;tourdeSaint-Germain;;VP
;Saint-Germain;égliseSaint-Pierre;;VP
1;ThéâtreFrançais;;VP;
;ThéâtreFrançais;Entrerai;;FP
;ThéâtreFrançais;Français;;FP
;ThéâtreFrançais;Française;;FP
;ThéâtreFrançais;Théâtre;;VP
;ThéâtreFrançais;ThéâtreFrançais;;VP
2;Naples;;VP;
;Naples;Naples;;VP
;Naples;baiedeNaples;;VP
;Naples;îlesMarquises;;VP
1;pyramided'Égypte;;VP;
;pyramided'Égypte;Midi;;AMBIG
;pyramided'Égypte;Vicvamitra;;FP
;pyramided'Égypte;pyramided'Égypte;;VP
