Freq. centroide;Centroïde;Cluster;Annotation CENTROIDES;ANNOTATION
53;Pierrotte;;FP;
;Pierrotte;Ja;;FP
;Pierrotte;MiePierrotte;;FP
;Pierrotte;MilePierrotte;;FP
;Pierrotte;MusettedeNanterre;;VP
;Pierrotte;Pierrotte;;FP
4;LAPORCELAINE;;FP;
;LAPORCELAINE;LAPORCELAINE;;FP
;LAPORCELAINE;LAPORCELAINE179;;FP
;LAPORCELAINE;LAPORCELAINE189;;FP
;LAPORCELAINE;Lovelaces;;FP
;LAPORCELAINE;Palais;;AMBIG
;LAPORCELAINE;Po;;FP
;LAPORCELAINE;Porcelaines;;FP
;LAPORCELAINE;Port-au-Prince;;VP
2;Eu;;FP;
;Eu;Dieul;;FP
;Eu;Eu;;FP
1;Bastille;;VP;
;Bastille;Anastagille;;FP
;Bastille;Bas;;FP
;Bastille;Bastille;;VP
;Bastille;Batignolles;;VP
;Bastille;Chenilles;;FP
;Bastille;ILE;;FP
;Bastille;MLD;;FP
;Bastille;Marseille;;VP
43;Blanc;;FP;
;Blanc;Blanc;;FP
;Blanc;Blanc!.;;FP
;Blanc;Fanfan-la-Tulipe;;FP
;Blanc;Lakçamana;;FP
;Blanc;Languedoc;;VP
;Blanc;Lx;;FP
;Blanc;rueLanterne;;VP
2;duNord;;AMBIG;
;duNord;Alfort;;VP
;duNord;Cunocépa;;FP
;duNord;Ià;;FP
;duNord;RDBR;;FP
;duNord;duNord;;AMBIG
1;Barbe;;FP;
;Barbe;BE;;FP
;Barbe;Bach’;;FP
;Barbe;Baghavat;;FP
;Barbe;Bamban!.;;FP
;Barbe;Barbe;;FP
;Barbe;Barbette!.;;FP
;Barbe;Cuba;;FP
1;Italien;;FP;
;Italien;Algérien;;FP
;Italien;Hospitalier;;FP
;Italien;Italie;;VP
;Italien;Italien;;FP
;Italien;Italiens;;FP
;Italien;Vallée;;AMBIG
;Italien;l'Italie;;VP
1;Désir;;FP;
;Désir;Dépé-;;FP
;Désir;Désir;;FP
;Désir;Désir-de-plaire;;FP
;Désir;Prés;;FP
1;Dites;;FP;
;Dites;Carmélites;;FP
;Dites;Dites;;FP
;Dites;Huit-à-Dix;;FP
;Dites;Midi;;AMBIG
2;Lalouette;;FP;
;Lalouette;Bouzanquet;;FP
;Lalouette;Eyssette;;FP
;Lalouette;Lalouette;;FP
;Lalouette;Loupi;;FP
;Lalouette;Muguets;;FP
;Lalouette;maisonLalouette;;VP
4;Montparnasse;;VP;
;Montparnasse;Gymnase;;AMBIG
;Montparnasse;Mont-;;AMBIG
;Montparnasse;Montmartre;;VP
;Montparnasse;Montparnasse;;VP
;Montparnasse;Saumon;;AMBIG
;Montparnasse;boulevardMontparnasse;;VP
;Montparnasse;rueBonaparte;;VP
;Montparnasse;théâtreMontparnasse;;VP
1;Prairie;;AMBIG;
;Prairie;Araignée;;FP
;Prairie;Prairie;;AMBIG
;Prairie;entr’ouvrir;;FP
;Prairie;laPrairie;;AMBIG
1;Française;;FP;
;Française;Français;;FP
;Française;Française;;FP
;Française;Pise;;VP
;Française;laChampenoise;;FP
1;RCE;;FP;
;RCE;Grand-Cercle;;FP
;RCE;Nice;;VP
;RCE;RCE;;FP
;RCE;Turc;;FP
1;RDDRLT;;FP;
;RDDRLT;Lt;;FP
;RDDRLT;RDDRLT;;FP
;RDDRLT;RL;;FP
;RDDRLT;Çudra;;FP
1;chemindeSarlande;;VP;
;chemindeSarlande;Inde;;VP
;chemindeSarlande;JardindesPlantes;;VP
;chemindeSarlande;Rendez;;FP
;chemindeSarlande;Sarlande;;VP
;chemindeSarlande;chemindeSarlande;;VP
;chemindeSarlande;clochedeSarlande;;AMBIG
;chemindeSarlande;collègedeSarlande;;VP
4;Alsacien;;FP;
;Alsacien;Alsace;;VP
;Alsacien;Alsacien;;FP
;Alsacien;Marsala;;VP
;Alsacien;Éliacin;;FP
1;théâtredeParis;;VP;
;théâtredeParis;Parthénon;;VP
;théâtredeParis;Théâtre;;VP
;théâtredeParis;théâtredeParis;;VP
1;Fougeroux;;FP;
;Fougeroux;Broum;;FP
;Fougeroux;Fougeroux;;FP
;Fougeroux;Fouque;;FP
;Fougeroux;Limoux;;VP
;Fougeroux;Luxembourg;;VP
;Fougeroux;Pérou;;VP
;Fougeroux;Souwaroff;;FP
;Fougeroux;Vaudoux;;FP
;Fougeroux;lesFougeroux;;FP
2;Tolocototignan;;FP;
;Tolocototignan;Tolocototignan;;FP
;Tolocototignan;Tologototignan;;FP
1;ruedesDames;;VP;
;ruedesDames;Bohême;;AMBIG
;ruedesDames;RuedesDames;;VP
;ruedesDames;Sd;;FP
;ruedesDames;pyramided'Egypte;;VP
;ruedesDames;ruedeLille;;VP
;ruedesDames;ruedesDames;;VP
1;PetitChose;;FP;
;PetitChose;Chose;;FP
;PetitChose;LEPETITCHOSE;;FP
;PetitChose;Petit-Cercle;;FP
;PetitChose;PetitChose;;FP
3;quartierLatin;;VP;
;quartierLatin;Latin;;VP
;quartierLatin;Latin!.;;VP
;quartierLatin;Moustier;;VP
;quartierLatin;Orties;;FP
;quartierLatin;Quartier;;VP
;quartierLatin;QuartierLatin;;VP
;quartierLatin;quartierLatin;;VP
5;Serrières;;FP;
;Serrières;Angleterre;;VP
;Serrières;M.Serrières;;FP
;Serrières;Nécrophores;;FP
;Serrières;Observatoire;;AMBIG
;Serrières;Serrières;;FP
;Serrières;Sèvres;;VP
1;Afrique;;VP;
;Afrique;Afrique;;VP
;Afrique;l'Afrique;;VP
;Afrique;sœur,.qui;;FP
38;Coucou;;FP;
;Coucou;Boucoyran;;FP
;Coucou;CAOUTCHOUCS;;FP
;Coucou;Coucou;;FP
;Coucou;MileCoucou;;FP
1;Viens;;FP;
;Viens;Agen;;VP
;Viens;ENLÈVEMENT;;FP
;Viens;Fe;;FP
;Viens;Providence;;FP
;Viens;Tiens;;FP
;Viens;Vienne;;VP
;Viens;Viens;;FP
;Viens;Viçva-;;FP
1;eR;;FP;
;eR;Bernerette;;FP
;eR;Entrerai;;FP
;eR;Nizier;;VP
;eR;Palerme;;VP
;eR;Perrache;;VP
;eR;Université;;AMBIG
;eR;eR;;FP
1;US;;FP;
;US;Muse;;FP
;US;US;;FP
;US;Vénus;;FP
7;hôtelPilois;;VP;
;hôtelPilois;Pilois;;VP
;hôtelPilois;hôtelPilois;;VP
;hôtelPilois;hôtelPilois!.;;VP
1;PION;;FP;
;PION;Lyon;;VP
;PION;Odéon;;VP
;PION;PION;;FP
;PION;Rio;;VP
1;Chine;;VP;
;Chine;Chili;;VP
;Chine;Chine;;VP
;Chine;Chinois;;FP
;Chine;Coquine;;FP
;Chine;Foin;;FP
;Chine;Philistine;;FP
;Chine;Touraine;;VP
1;Bretagne;;VP;
;Bretagne;Bretagne;;VP
;Bretagne;Cassagne;;FP
;Bretagne;d’Espagne;;VP
;Bretagne;laBretagne;;VP
1;Grillons;;FP;
;Grillons;Allons;;FP
;Grillons;Boulons;;FP
;Grillons;Grillon;;FP
;Grillons;Grillons;;FP
;Grillons;cimetièredesPapillons;;AMBIG
1;Beaux;;FP;
;Beaux;Beaucaire;;VP
;Beaux;Beaux;;FP
;Beaux;Cristaux;;FP
;Beaux;EV;;FP
;Beaux;Sceaux;;VP
1;ANNEAU;;FP;
;ANNEAU;ANNEAU;;FP
;ANNEAU;ANNEAUDE;;FP
;ANNEAU;Cévennes;;VP
;ANNEAU;Langlumeau;;FP
1;Es-;;FP;
;Es-;Es-;;FP
;Es-;Est;;FP
;Es-;Neuf-des-Papes;;VP
2;Rosellen;;FP;
;Rosellen;Celles;;FP
;Rosellen;Rome;;VP
;Rosellen;Rose;;FP
;Rosellen;Rosellen;;FP
;Rosellen;Récollets;;VP
1;leRhône;;VP;
;leRhône;LeRhône;;VP
;leRhône;Rhône;;VP
;leRhône;leRhône;;VP
10;Saint-Germain;;VP;
;Saint-Germain;Maine;;VP
;Saint-Germain;Prés-Saint-Gervais;;VP
;Saint-Germain;Saint-Germain;;VP
;Saint-Germain;Saint-Germain-des-;;VP
;Saint-Germain;Saint-Germain-des-Prés;;VP
;Saint-Germain;clocherdeSaint-Germain;;AMBIG
;Saint-Germain;tourdeSaint-Germain;;VP
1;Saint-;;AMBIG;
;Saint-;Saint-;;AMBIG
;Saint-;Saint-Cloud;;VP
;Saint-;Saint-Emilion;;VP
;Saint-;Saint-Esprit;;FP
;Saint-;Saint-Nizier;;VP
;Saint-;Saint-Pierre;;VP
;Saint-;Saint-Pétesbourg;;VP
;Saint-;rueSaint-Benoît;;VP
;Saint-;rueSaint-Guillaume;;VP
;Saint-;égliseSaint-Pierre;;VP
2;Parisien;;FP;
;Parisien;PA;;FP
;Parisien;Paris;;VP
;Parisien;Parisien;;FP
;Parisien;Parisiens;;FP
2;Naples;;VP;
;Naples;Cap;;AMBIG
;Naples;Naples;;VP
;Naples;baiedeNaples;;VP
;Naples;îlesMarquises;;VP
